"","t","Year","Month","date","sales","y_BCT_Guerr","y_BCT_loglik","y_BCT_log","y_BCT_sqrt","stl_residuals"
"54",54,2013,6,2013-06-30,35870,550.274260400901,13963.0782546726,10.4876565705263,189.393769696894,0.000749154914254413
"55",55,2013,7,2013-07-31,34780,541.083866250184,13580.588174535,10.4567977879083,186.493967730863,-0.0281759587203986
"56",56,2013,8,2013-08-31,44713,620.585232967008,17026.2724551793,10.70801956606,211.454486828726,0.0770921404689904
"57",57,2013,9,2013-09-30,31871,515.89133316344,12553.7991211761,10.3694517843901,178.524508121434,-0.0728273970131727
"58",58,2013,10,2013-10-31,29144,491.303743175803,11582.7070893038,10.2800043386884,170.716138662986,-0.0443946272656882
"59",59,2013,11,2013-11-30,30386,502.626631396164,12026.065011769,10.3217372550037,174.315805364861,0.10608949240242
"60",60,2013,12,2013-12-31,29964,498.803493231473,11875.6302812482,10.3077519400678,173.101126512799,-0.138238888960849
"61",61,2014,1,2014-01-31,23332,435.106865470113,9481.20133809201,10.0575810878735,152.74815874504,-0.0408575211091134
"62",62,2014,2,2014-02-28,28998,489.958377330496,11530.4666393548,10.2749821410731,170.287991355821,-0.0371899717252334
"63",63,2014,3,2014-03-31,41953,599.382752065438,16077.3400360293,10.6443052230452,204.824314962848,0.00290474541960415
"64",64,2014,4,2014-04-30,38009,567.946683127237,14710.3324454895,10.5455782527711,194.958970042417,0.08108452318793
"65",65,2014,5,2014-05-31,49584,656.598448616631,18686.9778823781,10.8114234800275,222.674650555468,0.109870698021143
"66",66,2014,6,2014-06-30,40664,589.263005330079,15632.0418631473,10.6130984591267,201.65316759228,0.0644340283565225
"67",67,2014,7,2014-07-31,39888,583.100114299431,15363.2860746103,10.5938308057633,199.719803725119,0.0305915566212549
"68",68,2014,8,2014-08-31,44043,615.494423519296,16796.4679789336,10.6929217084076,209.864241832667,0.0230810536813754
"69",69,2014,9,2014-09-30,28507,485.411072265132,11354.5874272619,10.2579049501336,168.840161099189,-0.175409116516835
"70",70,2014,10,2014-10-31,33164,527.213125480873,13011.2979194323,10.4092202292361,182.109856954532,0.0684866513444666
