"","Camry_BTC_log_naive_point_resid"
"1",-0.267097788993794
"2",-0.0284297656854537
"3",-0.530109030431804
"4",-0.120861203567493
"5",-0.0133553997904432
"6",-0.141929782458513
"7",-0.0442281160128299
"8",-0.0346062590252458
"9",-0.0448510496327614
"10",0.0697990883179944
"11",0.222461138255863
"12",0.0451107675519165
